user_id,item_id
0,2239 2931 1795 2568 1533 2763 817 2718 1773 1792
1,1816 3701 561 3628 3306 2279 1935 2376 2370 3013
2,762 952 3344 43 3256 3231 183 1245 1762 1460
3,1525 3107 1328 2652 3220 1471 3004 2836 1957 151
4,2397 1621 563 2048 1510 3660 3327 3238 1939 1850
5,1354 2564 1560 3668 1300 578 1705 3597 592 1703
6,1193 1149 3111 817 947 1556 1491 867 3600 107
7,3534 621 119 793 1809 1356 2129 3005 1795 1445
8,1868 3022 1583 2646 1475 1592 1884 2147 452 71
9,3406 1060 312 1700 702 2363 2219 881 995 2067
10,462 2006 188 2916 2112 3028 3298 2234 1144 1805
11,529 2700 2457 3116 3465 1781 1746 1023 1888 1425
12,1398 1240 2959 2768 737 2452 1846 3325 3047 119
13,741 184 892 3269 1804 1543 3151 777 147 2534
14,3133 1319 465 2139 905 1984 2240 1425 676 1003
15,3051 3031 165 189 106 3019 2960 868 2959 176
16,3597 2181 2117 1032 3647 3438 1655 2529 168 2231
17,3597 1160 584 3658 1871 3255 3396 283 2050 1315
18,3544 3335 1830 636 2201 2234 3015 285 1805 108
19,3142 412 3367 3537 1012 132 2410 3059 1379 232
20,183 2691 3474 1341 1386 2621 2234 1805 108 2834
21,3698 157 2049 480 3464 1443 3094 1994 2414 1290
22,2190 2056 2652 3606 3113 474 461 3231 1723 3374
23,2980 2215 309 2261 37 2969 220 361 1040 1888
24,3529 2265 1657 772 3423 971 3269 1590 2512 1888
25,462 1023 1781 2620 771 2686 2156 420 275 1830
26,472 2265 22 3534 305 3409 3595 2015 1811 138
27,622 658 2617 3046 568 327 2240 2334 676 1003
28,1746 1211 208 785 2967 3248 3349 793 2626 3317
29,605 3097 461 375 498 3062 2116 10 523 620
30,598 3086 3383 1556 2383 2972 3674 530 3213 2308
31,3529 463 3183 331 1916 3405 2273 1127 583 2636
32,701 2227 2862 1223 2240 1425 676 3258 159 285
33,983 3318 1287 2186 3327 672 3013 1316 1888 2240
34,2269 2056 798 622 944 3002 213 2195 2068 2956
35,2564 1511 1583 409 2688 761 1144 2796 676 1003
36,3404 1543 3022 1475 3409 1950 3666 2201 2234 159
37,1179 755 1250 550 1795 3372 994 3699 41 2060
38,3202 1723 3325 1471 90 2252 3223 3196 3648 1322
39,1781 1560 382 2774 221 2281 650 512 1888 2240
40,2636 3000 974 1808 1069 2246 3609 528 1060 312
41,1830 136 2534 107 1804 3685 1916 3666 1003 1425
42,2766 1862 983 1465 331 2005 1100 797 2815 3240
43,1271 152 1727 93 779 573 3409 1351 1098 936
44,3598 463 2716 2159 1044 3358 3660 650 2132 563
45,2630 2732 2928 1583 1888 2334 1425 2201 1144 2796
46,3539 1251 68 2527 3427 1862 440 20 1888 1425
47,743 1803 1424 1246 3600 150 810 1545 391 570
48,790 3600 2574 3389 1888 2334 1425 3015 676 1467
49,3690 2281 2564 1353 124 1309 1888 319 3015 2796
50,1315 307 3298 152 3198 3583 2365 2313 212 2857
51,482 1470 2370 2350 3666 2334 3015 676 3258 319
52,1940 2794 868 619 1473 636 2443 3619 362 3293
53,3013 375 236 1316 1997 3153 1331 1888 3666 2240
54,1067 566 359 2403 142 2145 919 323 2047 3176
55,3537 2950 3301 3487 3600 2920 3656 3276 2557 174
56,1765 1840 3448 2844 188 1524 2700 1832 2960 1283
57,740 2352 139 889 2071 1065 2647 613 2349 1883
58,107 3503 1685 1487 3082 499 2051 1268 1318 1295
59,990 2093 107 1524 1721 1418 3409 1638 3067 232
60,2918 2510 2646 1375 109 772 12 2067 2006 3640
61,1328 493 5 3094 1554 3578 737 911 3234 1921
62,355 1098 273 1318 3536 1511 79 2705 3435 2681
63,1328 570 3435 331 1773 96 1423 2234 2201 676
64,1234 2124 1055 3625 350 232 3666 2240 2334 1003
65,1245 1252 121 397 2060 806 128 2993 2125 17
66,1530 1124 849 2186 3657 780 1703 2271 2159 3597
67,1078 93 779 3289 147 399 2581 1481 796 1279
68,24 400 1446 239 1107 1111 2597 1638 3656 352
69,411 2340 1845 3481 2158 980 445 2152 1623 1264
70,1551 3694 1140 3016 2357 165 1715 1454 717 1587
71,3417 3173 1706 1948 124 3247 2769 2107 2086 2387
72,678 1037 270 3035 1367 169 3022 3473 2603 2732
73,2959 2004 1525 3497 1219 2221 3202 3325 52 3323
74,584 493 3371 3425 1826 1927 3583 1811 1524 2236
75,1861 2920 45 76 2273 621 1160 615 16 212
76,1030 2800 2862 1223 3153 160 1137 2224 1315 1811
77,3021 1770 3209 1191 2149 605 2402 2365 152 809
78,2099 2291 1543 1104 409 652 2265 2937 2862 2236
79,2147 183 1065 3286 1103 881 1757 534 362 1246
80,467 944 790 3125 360 760 3677 2327 2067 3353
81,41 2397 2289 1017 517 3339 1250 2339 881 457
82,2774 1560 512 1086 702 1337 802 3035 1888 1425
83,3646 2534 971 2502 2210 169 1637 1888 3666 1425
84,283 1947 3534 1525 2397 2485 830 2645 2350 3002
85,880 1096 872 2076 88 1039 922 1140 3059 1888
86,1428 1328 1690 220 3215 1040 1240 1073 775 2201
87,2389 1057 2165 1240 3350 367 677 166 947 867
88,184 3142 2474 2335 523 1057 2745 2840 3131 2290
89,87 517 1100 2069 188 987 1432 2278 931 783
90,2484 2643 438 3157 2572 1560 1315 1801 2916 234
91,2528 3474 3441 2709 2070 3663 1788 3264 2154 1376
92,1615 3151 2630 2210 3694 2862 2128 214 2606 3666
93,1887 1668 3301 3367 2966 2342 3553 2626 3053 598
94,3036 3608 3535 2122 3350 1746 2308 2240 2234 2796
95,476 1086 3262 1271 1337 543 944 3528 3333 2980
96,1278 104 221 1827 2234 1144 1870 3240 735 2979
97,170 2063 2702 708 2240 2334 2234 2201 3015 3258
98,482 2005 2370 3677 232 1888 2334 1144 676 1870
99,204 1725 2774 2326 1495 3532 2968 3020 1775 1848
100,2169 3028 2769 785 3353 2757 2088 2308 69 1850
101,989 1259 3390 1524 3172 3701 677 984 1124 1365
102,120 1456 2432 2677 854 708 327 1888 2234 3015
103,1498 1597 292 1252 2050 3511 2201 1144 319 206
104,2382 2862 2784 2777 3666 2240 2334 285 1805 2708
105,1721 2330 2865 762 1251 257 1980 71 2227 1754
